attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ,cifar_idx
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,4.352941176470588e-01,1.2846151384057944,51.69958968592726,0.09802756216011799,3068.0,0.0005371862154366336,0.998044541879441,2678.6829832395097,0.04966384612147795,0.8984157135265605,1.0111699587985967,385.5995456616284,32.919978649111606,0,0,1,0
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.2851191441761491,51.73171547847736,0.09802756216011799,3068.0,0.0005376078172942832,0.9990004994357774,1921.5565577071268,0.03577676947920407,0.8889079765433872,1.0085222954870552,277.54954324942304,23.669786138931602,0,0,1,3
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.277881368392764,51.40952713952592,0.09802756216011793,3067.0,0.0005315692681267456,0.9944894572285978,3654.2882988492474,0.061265592351986926,0.8905054128675441,0.9955174276229662,519.2627659298624,32.94796052734196,0,0,1,6
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.2841791743349475,51.669683816480706,0.09802756216011793,3067.0,0.0005368216639959595,0.9963630636412183,3501.6293399703954,0.061226469553621814,0.7406983359125948,0.9739664813991299,499.92841816403717,28.402084714784213,0,0,1,7
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.2842948895144621,51.70117673824916,0.09802756216011788,3068.0,0.0005369184125107307,0.9991246156238475,1810.0025068911293,0.035426721185484,0.8551922393389019,1.0012254522880288,260.70043568692313,29.97121640321914,1,0,1,8
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.2851191441761491,51.73171547847736,0.09802756216011799,3068.0,0.0005376078172942832,0.9977555231914684,3034.712805586654,0.05541977983123178,0.8774129243686958,0.997770918546555,435.2303370453272,32.919978649111606,0,0,1,12
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.268406395379232,50.66371163214539,0.09802756216011799,3041.0,0.0005237157499475704,0.9985476258353945,2380.7941391460768,0.038977083444411094,0.91956274323878,1.002869778993189,342.26548150939806,32.97391160526719,1,0,1,16
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.283645724867033,51.662457347332094,0.09802756216011799,3065.0,0.0005363757639874384,0.9964095079092705,3401.8170292100817,0.0354319965985522,0.7825499082553105,0.9974583167554512,490.9697469960541,32.9290958177877,1,0,1,18
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.284397650516757,51.71215086261532,0.09802756216011793,3068.0,0.0005370043374521371,0.9975287210056555,3215.289408378836,0.04452205386496644,0.8777257408817961,0.9930111267650242,463.126994034542,32.92559898585872,0,0,1,20
uni,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,37,0.4352941176470588,1.2851191441761491,51.73171547847736,0.09802756216011793,3068.0,0.0005376078172942832,0.9984772806889928,2341.59340259282,0.04005478649112984,0.8736942899501838,0.9952708696104713,336.3634477321514,32.919978649111606,0,0,1,24
