attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1e+00,4.547098298204658,207.12158916867247,0.10000005352730845,3071.0,0.0067305022570103195,0.980429054598179,8529.750670474796,0.17592481248638436,0.5317526363793449,1.0072824011551473,1228.8270714486125,21.7821917351438,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,15.31245211521453,672.6803923253335,0.792156862745098,3072.0,0.0064360736229784575,0.9856343472791425,7120.325598943615,0.13846124272459787,0.44270814893891225,0.9903009353924107,1026.7606898444765,22.077147419890277,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,14.343412559745193,652.8823673925855,0.7549019951446383,3072.0,0.0066910232501104505,0.9910693316883687,5984.121015310058,0.1260264085723158,0.5619030445326523,1.0446825544568379,863.7461950028102,21.123828176956874,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,20.451276296848192,980.894108095999,0.8862745098039215,3072.0,0.006509137881605786,0.9810936550342587,8518.229022848107,0.18024064461965872,0.5910845539668786,0.9913792861799173,1228.9860922706841,21.95136491060344,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,14.368799488871952,639.837259152444,0.7784314132204243,3072.0,0.006701050092510226,0.9706216849168872,10378.141318065762,0.21022381366704077,0.4487216155796178,0.9996724206470825,1494.4080594260352,21.831975436715414,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,15.812368973021673,716.4117612993309,0.8843137563443652,3072.0,0.006163823379534745,0.9442973792949312,11847.012272256985,0.20539510571818187,0.5793761743123558,0.9593579298977812,1687.4221768364248,21.806912301662273,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.20901242181647,769.2039309454024,0.9803921568627451,3072.0,0.006559453688953532,0.9640885308365873,10964.3194896733,0.21596962781820492,0.3289605890628197,0.9827253062496472,1572.9796158997276,21.811003590991834,0,0,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,19.838946325168543,966.880438578976,0.8470588235294118,3072.0,0.006689765454811089,0.9918505727968038,5664.47450365265,0.1262973217526558,0.4402566764573381,0.9813606231884946,817.2943727061624,21.685317478802972,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.80215738609553,779.4333277740607,0.9333333333333333,3072.0,0.006480275019732689,0.9841093260993219,7715.467646638663,0.13067696044959934,0.5953955322873666,0.9604103889799852,1111.7600824082704,21.96992386902652,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,16.82237390172939,781.8450985720929,0.7941176825878666,3072.0,0.006647137940079962,0.9893093560405698,6318.678752818538,0.14559104661666086,0.32328734569241185,0.972236528111929,911.6318086331594,21.720804845314024,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.021912396559472,782.2647081140501,0.8254901961953032,3072.0,0.006608918879762339,0.9825269451263031,8566.601527408697,0.14153654860876608,0.7044311707571417,1.0067611199794273,1236.4966374355797,21.866446445495455,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,22.291603299318236,993.4352960041633,0.996078431372549,3072.0,0.006561601968855769,0.9716086410776481,10261.573229494536,0.19407612308976052,0.46329197329549127,0.9616871148738472,1476.95266558563,21.85012824511761,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,17.048896292610234,764.9549013683901,0.9549019921059702,3072.0,0.006100787877974145,0.965277153714879,13110.582094129251,0.19132127253215322,0.6697800551845461,0.9335614160361764,1891.6872116651066,22.178093991610858,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,22.22062196870643,1023.6568781633588,0.9764705882352941,3072.0,0.006688252175777628,0.9810868557535755,8949.729327763302,0.16918037862496682,0.6565453436643615,0.9871112413981779,1290.3317440232029,21.66447840760442,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,16.46000707557889,740.8960928685817,0.8450980747447294,3072.0,0.0067865972801931665,0.988131329372912,6919.5506935223575,0.15252495236503572,0.533143337272903,0.955383366741894,998.832981958028,21.896641703768502,0,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,19.875542132117285,928.007846866957,0.9078431685765584,3071.0,0.006352515926642902,0.9823572742661136,7866.151805901009,0.1364877111780505,0.587657352019037,0.9612278491556735,1134.1396287933815,21.806526167802865,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,22.663299952276894,1027.0568732054503,0.9666666609691639,3072.0,0.00668026277226906,0.9838413520720836,8089.985463832139,0.14613064580312027,0.537469812281293,0.996159950850418,1167.1580387313356,21.72711461695355,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,24.045224017994883,1129.5313617804763,0.8901960784313725,3072.0,0.005972817760088665,0.9700155095659141,10119.809946167366,0.11883904199637023,0.4263405748367186,0.9147930784067458,1460.233083942805,22.299269106696688,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,25.979277966132848,1206.2235346846724,0.9745098045059278,3072.0,0.006552430974800988,0.9798580499783803,8613.469188686153,0.1751628726513005,0.5461342243596664,0.9806843489103022,1239.7412734893087,21.82779562852033,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,19.435952225972137,854.7176474919798,0.8921568589175448,3072.0,0.006731018092010064,0.9779786074926767,9781.10545387699,0.1599384234793142,0.5823415412556532,0.955775120899339,1411.7628102903634,21.868434863414343,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,27.125878404969235,1308.154882813581,0.9490196078431372,3072.0,0.0050213314163803716,0.9935678664808334,5183.09597751267,0.07617421914108444,0.34589786631157554,0.8604739364037469,748.1169417833439,22.951890727815773,1,1,1
bim,bim0.10.1_succ,gen_list_1,cifar,conv12,85,1.0,34.04670167346189,1788.986249816564,0.9588235302298677,3072.0,0.006626771655678636,0.9576224508571373,11301.491567423529,0.2670524100096599,0.26348851200924234,0.9968515317386109,1622.4993102165613,21.842251389054923,0,0,1
