attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
jsma,True,,,500,,,,,"0,1",1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,6.10493604183197,1.8750254075476642,49.8271384605349,0.3614764075584478,36.129411764705885,0.00880430640440422,0.985413800021062,3949.839606321042,0.04712818808635945,0.9136808012291389,0.9732196746458183,569.497244531174,34.762881952417665
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,6.10493604183197,0.0,0.0,0.0,0.0,,,,,,,,34.762881952417665
jsma,True,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_succ,gen_list_jsma,cifar,conv12,100,85,83,0.9764705882352941,3.5306526112556456,1.2502674867899803,12.971071298724034,0.3563430742341071,37.0,0.0011516512898658425,0.9950938127562906,,0.04194512081495334,0.9313848749097667,0.9857691632308634,,33.44606143106195
jsma,False,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_miss,gen_list_jsma,cifar,conv12,100,85,2,0.9764705882352941,3.5306526112556456,21.343833683800447,955.6529920863188,0.8666666666666667,1536.0,0.14872821833176483,0.715472470595929,38602.459146551075,0.31308033840100025,0.11010887438023367,0.2109437527575157,5587.623840924158,33.44606143106195
jsma,True,,,500,,,,,0.1,0.6,,,,,,jsma0.10.6_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.4901459264755248,1.292453033033965,12.16384077229154,0.36754330752492653,36.129411764705885,0.0008503684166205087,0.9957301675526661,,0.04363113822179742,0.9341355735770405,0.9945720659197069,,33.099023256433526
jsma,False,,,500,,,,,0.1,0.6,,,,,,jsma0.10.6_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.4901459264755248,0.0,0.0,0.0,0.0,,,,,,,,33.099023256433526
jsma,True,,,500,,,,,0.1,0.4,,,,,,jsma0.10.4_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.5639833784103394,1.2429364064120088,11.681326397802025,0.3658362664620906,36.129411764705885,0.0007182854801875113,0.996143459919781,,0.04167382650989978,0.9318867478623202,0.9920928331107689,,36.16778774408681
jsma,False,,,500,,,,,0.1,0.4,,,,,,jsma0.10.4_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.5639833784103394,0.0,0.0,0.0,0.0,,,,,,,,36.16778774408681
jsma,True,,,500,,,,,0.1,0.2,,,,,,jsma0.10.2_succ,gen_list_jsma,cifar,conv12,100,85,72,0.8470588235294118,3.39519159078598,1.1445944251339177,9.849354385543027,0.355827933593708,42.65277777777778,0.0005620394165970967,0.9970903500533428,,0.036064613621961034,0.9308554767376145,0.9956991574911592,,34.01887664834689
jsma,False,,,500,,,,,0.1,0.2,,,,,,jsma0.10.2_miss,gen_list_jsma,cifar,conv12,100,85,13,0.8470588235294118,3.39519159078598,6.689097707196707,137.4458918174667,0.7975867464711405,236.30769230769232,0.014850987779704143,0.9031467021987554,19260.226252560988,0.25953994175747597,0.6899260832614412,1.1074717682642923,2742.875653880159,34.01887664834689
jsma,True,,,500,,,,,0.2,0.8,,,,,,jsma0.20.8_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.6684983968734741,2.037720206165467,27.07311293968492,0.48166091116241927,36.129411764705885,0.003312912469057496,0.9894834550697106,,0.06538342431196108,0.8809269507772605,0.9857658465197902,,29.55206240435017
jsma,False,,,500,,,,,0.2,0.8,,,,,,jsma0.20.8_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.6684983968734741,0.0,0.0,0.0,0.0,,,,,,,,29.55206240435017
jsma,True,,,500,,,,,0.2,0.6,,,,,,jsma0.20.6_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.2664773988723754,2.3780775089119666,36.26227097583934,0.47598617151121775,36.129411764705885,0.004867786371257691,0.9843113481447792,,0.07247408791412768,0.8728720894423211,0.9823938357902404,,34.26164818167658
jsma,False,,,500,,,,,0.2,0.6,,,,,,jsma0.20.6_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.2664773988723754,0.0,0.0,0.0,0.0,,,,,,,,34.26164818167658
jsma,True,,,500,,,,,0.2,0.4,,,,,,jsma0.20.4_succ,gen_list_jsma,cifar,conv12,100,85,70,0.8235294117647058,6.7304726147651674,1.9005518396034669,21.1513507570106,0.47249300931682137,43.871428571428574,0.002397887900172164,0.9900641513959213,,0.060785871128098405,0.8908072810557875,0.9840620734614097,,32.115944666383996
jsma,False,,,500,,,,,0.2,0.4,,,,,,jsma0.20.4_miss,gen_list_jsma,cifar,conv12,100,85,15,0.8235294117647058,6.7304726147651674,16.57761499563856,523.6327076861049,0.9362091503267975,204.8,0.0902374691262328,0.6829960605440156,48186.52524110201,0.4508049866881895,0.3890398598931594,0.8486846145615302,6923.012640766704,32.115944666383996
jsma,True,,,500,,,,,0.2,0.2,,,,,,jsma0.20.2_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.2416041612625122,1.9432672449642472,19.06610051479848,0.5001614882679274,36.129411764705885,0.0017368247764289564,0.9907759856345776,,0.06833423531515495,0.8835870671493927,0.9979150525093997,,29.587239611426984
jsma,False,,,500,,,,,0.2,0.2,,,,,,jsma0.20.2_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.2416041612625122,0.0,0.0,0.0,0.0,,,,,,,,29.587239611426984
jsma,True,,,500,,,,,0.4,1.0,,,,,,jsma0.41.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,2.4324330163002013,3.5472849823631676,56.539963742924094,0.6378316236779763,36.129411764705885,0.009548721805872087,0.9725533707824859,,0.10862436599618176,0.8065776207631993,0.9667625981066605,,27.348188905854165
jsma,False,,,500,,,,,0.4,1.0,,,,,,jsma0.41.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,2.4324330163002013,0.0,0.0,0.0,0.0,,,,,,,,27.348188905854165
jsma,True,,,500,,,,,0.4,0.8,,,,,,jsma0.40.8_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,2.933682553768158,3.678598301600868,65.51066684961536,0.6310496163203229,36.129411764705885,0.010292696724499156,0.9723684785791624,,0.10594596253387678,0.788765251821174,0.953669539884642,,25.677091055366418
jsma,False,,,500,,,,,0.4,0.8,,,,,,jsma0.40.8_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,2.933682553768158,0.0,0.0,0.0,0.0,,,,,,,,25.677091055366418
jsma,True,,,500,,,,,0.4,0.6,,,,,,jsma0.40.6_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,0.7366563844680786,2.589651261411607,20.620887067769377,0.6043829514081089,36.129411764705885,0.0026999670507903907,0.9864724613800254,,0.08965203341351886,0.8492112986662457,0.9899816342839062,,33.406850031603206
jsma,False,,,500,,,,,0.4,0.6,,,,,,jsma0.40.6_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,0.7366563844680786,0.0,0.0,0.0,0.0,,,,,,,,33.406850031603206
jsma,True,,,500,,,,,0.4,0.4,,,,,,jsma0.40.4_succ,gen_list_jsma,cifar,conv12,100,85,70,0.8235294117647058,4.992422297000885,2.9788696094446867,29.00429177667067,0.6104201925068008,43.871428571428574,0.003881422316083712,0.983980016139465,,0.09604145506278544,0.8043223123270223,0.9815719523520081,,27.56031081563098
jsma,False,,,500,,,,,0.4,0.4,,,,,,jsma0.40.4_miss,gen_list_jsma,cifar,conv12,100,85,15,0.8235294117647058,4.992422297000885,19.7934387524468,656.8138812339591,0.9552941176470588,204.8,0.12906458120060155,0.6373889038593192,,0.48321553153366315,0.3238627646807253,0.8155940303937963,,27.56031081563098
jsma,True,,,500,,,,,0.4,0.2,,,,,,jsma0.40.2_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,0.7372297501564026,2.5973813752418766,19.441002443578533,0.6242676071037195,36.129411764705885,0.002567395602946936,0.9848247265927998,,0.09308184365011582,0.8407568936648219,0.9959973600234219,,28.55749193509638
