attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ,cifar_idx
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1e+00,0.6164414616111897,3.0000340762237685,0.2000000294517068,3071.0,0.00012369794127387368,0.9992989783880253,1055.2888712030838,0.023804901995896483,0.974506398631596,0.9970792649638306,152.85121588550106,40.10299868321931,0,1,1,0
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.8366601563610103,5.0000343590353955,0.20000007175931744,3072.0,0.00022786465405014007,0.9990177607450571,1381.5035206226407,0.023347748278759666,0.9426483037677573,0.9933127481362366,201.46849878255023,36.880805162093374,0,1,1,2
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.0770332424970221,9.200039446821403,0.30000004885243436,3072.0,0.000377604363751188,0.9991995930770582,1479.0645132772738,0.02681213539316761,0.9366180803599716,1.0022606554231817,214.1192202294099,23.273604348401026,0,0,1,3
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.8491828807715097,3.5667034882394684,0.40000012248170147,3072.0,0.00023473683756360675,0.9993419503385895,1009.6610785503041,0.0281898609804236,0.9763973978816928,1.0241491116648562,143.81591887797438,35.036443867288824,1,0,1,4
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.0954452466006996,7.000032730090116,0.5000000465149973,3071.0,0.0003906250938476784,0.9971581877955922,1711.7218559476646,0.05134500365224309,0.9327273957154695,0.9980857110022588,246.64796909161183,36.88080396036332,0,0,1,5
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.2632231715598135,9.235318511253332,0.5000000523585899,3066.0,0.0005194442647023549,0.9942501431504533,3318.2672966704768,0.05680516416763448,0.9408882496772891,0.9962521303691411,467.56335149245115,34.662317408182616,0,0,1,6
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.48989800853191096,2.000025785261505,0.20000007736916636,3071.0,7.8125019128754e-05,0.9994485529251138,1051.7470518017728,0.022081710637846006,0.9702794762815127,1.0023480922515733,147.28073743884417,32.271765283976336,0,0,1,7
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.743270109364941,21.417698100764383,0.3000001007435369,3072.0,0.0009892547767595225,0.9983865479248321,2069.997602801374,0.04547253118044875,0.8566070598400328,1.0258660797279449,297.6809803922986,30.849324302223767,0,1,1,8
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.4764825935958694,12.800036254846582,0.30000009817235607,3072.0,0.0007096356930962194,0.996703898049128,2472.4013741212807,0.04180388897519164,0.9506155495028463,0.9918169828416982,358.09632465572764,31.842249822748364,0,0,1,9
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.8944274377058912,5.800055812416122,0.2000000764341915,3072.0,0.00026041681032588725,0.9994741389885706,1000.161319541258,0.026246521897868663,0.9236373974485667,0.9874048205853848,145.08056589879249,35.18938117133331,0,0,1,10
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,2.394598385536829,26.300041857369102,0.4549019607843138,3066.0,0.0018665694752654912,0.9948944773961471,3446.2085545167224,0.07128126008644528,0.924579552596319,1.0346648098086948,496.7570148467599,26.815894610122577,1,1,1,11
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.8331951337562553,4.990226376819988,0.300000091160045,3072.0,0.0002259811624072605,0.9992713931392102,1392.8339876181867,0.03236335168097786,0.9705347382593361,1.025569490571811,199.9212752196085,38.06179772478877,0,1,1,12
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.1918182814161842,8.650998867956886,0.7000000444113039,3057.0,0.0004623798228899177,0.9928978340733403,3667.1341946694292,0.04931996626502569,0.9633115713152846,1.0092780813642488,532.2582829937398,39.77197777257304,1,0,1,13
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.7248118901114902,17.354935268232346,0.7000000934974819,3064.0,0.0009684166849837148,0.9964194974590859,3177.5078091974024,0.06266529612967847,0.9331786305168984,1.0256062795912124,460.7026460590844,30.102998584760915,0,1,1,14
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.9710696561160512,4.835333442481637,0.4000000691881367,3070.0,0.000306958423512157,0.9992412538430756,1382.2829313029547,0.02795338032055425,0.9699793466616237,1.0032037649953276,199.07919421452047,34.60092552015911,0,1,1,15
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,1.061233857844303,8.288266703623405,0.30000009863984356,3011.0,0.00036660719434736407,0.9993432049201587,1046.4200961683466,0.03079255803401681,0.9674658621350215,1.003844685822804,150.53720400898501,34.05099556070471,1,0,1,16
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.6782330748222279,3.800035244898469,0.20000007386301077,3072.0,0.0001497396171168014,0.9994341552588221,1231.8810471771646,0.020654065540004925,0.9751297452401096,0.9877414908993166,176.63002232259603,39.31118662034095,1,0,1,17
jsma,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,85,1.0,0.8741141179793536,4.290215677877565,0.4,3066.0,0.0002487224906415441,0.9971630829577715,2078.789117276577,0.021974654322556852,0.9711009424151363,0.9945010891188845,299.47549719487535,36.678771687667286,1,0,1,18
