attack,file_name,csv_name,dataset_name,model_name,adv_size,success_rate,L2,L1,Linf,L0,mse,uqi,ergas,sam,scc,vifp,rase,psnrb,magnet_det,squeezer_det,is_succ
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,7.411764705882353e-01,0.29487888026119535,3.723290939877428,0.029994438091913878,3071.0,2.8305193367218875e-05,0.9999134920194276,548.584781001266,0.01121105021465072,0.9918101557140234,1.000403042614981,78.96115949645261,45.53878401639341,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.29525651117986235,3.6941632467632513,0.029998386373706887,3072.0,2.8377736781934955e-05,0.9999251239514709,496.3271141746649,0.009011834325945411,0.9888422231161615,0.9998735426773063,71.41721319120644,45.66905161679828,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.07925207669641739,0.6290784035827638,0.009999404584660254,3072.0,2.044561087465763e-06,0.9999972078401475,102.60548815067214,0.002135225785490854,0.9995094204766511,0.9996635464056296,14.765862769361734,23.857346566286147,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,1.4462622635460372,30.697327170210574,0.09999275826940351,3072.0,0.0006808836376814148,0.996570114273312,3370.5120329790025,0.061636457992113945,0.8391326647167849,0.9909305465714778,483.21062294408216,31.132006305283923,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.7236703464476633,12.258483267383761,0.05998757797129012,3071.0,0.00017047486013270865,0.9971751232985651,1960.412536303832,0.0335464363528648,0.9398390131386627,0.9964328487603912,281.2812042819187,37.12181722893455,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.6923962798486334,11.493476821774358,0.05999294192183252,3071.0,0.00015605879178002183,0.9990696769555475,1621.3769748677078,0.032253149333376946,0.8963321544225265,0.9987369099796742,234.2383039423113,31.19605959639304,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.18038461508025433,1.9960709070750382,0.019998461592431183,3072.0,1.0591995233610519e-05,0.999985428699461,228.96660648836163,0.004945267786130727,0.9957150427911907,0.997246442660097,33.035093728976484,34.97722187982665,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.5348115231889589,7.996868740343581,0.04999521222769043,3072.0,9.310656423687964e-05,0.9997470431080385,900.200830528325,0.01518739962071058,0.982974717319736,0.9979227350226004,129.37051793132164,40.42904457821927,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.7297363064001761,12.451014238712833,0.059989941821378845,3072.0,0.00017334475158807669,0.9996668977104397,1048.820440741032,0.022384341665998526,0.7593603019721454,0.9989458603757658,151.143659136133,37.23602321288788,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.8230429759841892,14.418357103325285,0.06998952031135558,3066.0,0.00022050772796774432,0.9992437272165731,1632.433835217668,0.024689681774595282,0.9796692555833942,0.9997638729082715,235.4924038363216,37.06897876522019,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.4275990644328787,5.977382922563335,0.039992352326711056,3072.0,5.951854163537538e-05,0.9997217141235656,959.6083802298903,0.018113722522728234,0.982135481673307,0.9998914314740383,138.22671831413496,42.483904372702746,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,1.4122453617346549,29.841513270804402,0.09997925594741225,3067.0,0.0006492307818167469,0.9978055508005884,2843.2247454242815,0.04907418284214026,0.9460091206896477,1.0114898574497868,409.1974940676673,32.226217171250376,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.5466909582840555,8.361441333013058,0.04998431462867586,3072.0,9.728873823878219e-05,0.9997926277018735,851.5754519470619,0.01767026768119452,0.9434226820222588,0.9939624389563008,122.86569644227322,39.6306098528847,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.3968104759789507,5.333148337106279,0.03999569065430586,3046.0,5.125603966362024e-05,0.9998679009872413,686.0088936075905,0.011954558441265457,0.989930158650122,1.0010758144478447,98.74272264556735,42.46859824291779,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.5432186830627238,8.202997929529817,0.04999133792578003,3072.0,9.605681563424474e-05,0.9997472324544864,967.2434216607037,0.016974993673134094,0.9788447279124043,1.0004665836455857,139.36255074403056,39.85739970905398,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.5606592837022075,8.839547990386684,0.04999533617029003,3070.0,0.00010232383867235435,0.9996337693122791,1182.3654529715056,0.018977971470174677,0.9647441963558462,1.0013856152028728,171.1785534700285,40.367826847686814,0,0,1
zoo,zoo11010.0_succ,gen_list_zoo,cifar,conv12,63,0.7411764705882353,0.3994855592833469,5.388051286690367,0.0399968770204806,3072.0,5.1949450545549647e-05,0.9995898150352648,1015.7517086876194,0.02368229429010657,0.918996358031477,1.0086009356519643,146.30936253737286,42.78410391314375,0,0,1
