attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
jsma,True,,,500,,,,,1e-01,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,6.10493604183197,1.8750254075476642,49.8271384605349,0.3614764075584478,36.129411764705885,0.00880430640440422,0.985413800021062,3949.839606321042,0.04712818808635945,0.9136808012291389,0.9732196746458183,569.497244531174,34.762881952417665
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,6.10493604183197,0.0,0.0,0.0,0.0,,,,,,,,34.762881952417665
jsma,True,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.6284731245040893,1.2051853764597966,12.446216622535148,0.348858184113222,36.129411764705885,0.0011028842048047011,0.9951275052146908,,0.04034912460087736,0.9332911204448404,0.9885832827011173,,33.91963893605698
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.6284731245040893,0.0,0.0,0.0,0.0,,,,,,,,33.91963893605698
jsma,True,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.5909467816352845,1.272683621810192,12.031499423555594,0.3608997078117892,36.129411764705885,0.0006683886297441788,0.9962873038655765,2413.0143210735573,0.043228613190623044,0.9192775619801549,0.9922565086038218,346.8276624703189,34.176619814520215
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.5909467816352845,0.0,0.0,0.0,0.0,,,,,,,,34.176619814520215
jsma,True,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,0.9885668802261353,1.0992443625677628,8.951775912724658,0.3384314256569644,36.129411764705885,0.0004917583367106155,0.9964013304116273,,0.03905867975335106,0.9388710855172266,0.998421409242385,,34.949933868387795
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,0.9885668802261353,0.0,0.0,0.0,0.0,,,,,,,,34.949933868387795
jsma,True,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.2582252144813537,1.1876143234809595,10.218142798748966,0.3746713383208784,36.129411764705885,0.0005717978235886347,0.9964743989660619,,0.040476045307231666,0.9344692330130643,0.9915830506822437,,33.58508425385517
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.2582252144813537,0.0,0.0,0.0,0.0,,,,,,,,33.58508425385517
jsma,True,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,4.133491938114166,1.68422093398515,28.265733181392662,0.38562865230038906,36.129411764705885,0.0034170541530614477,0.9887181576779221,,0.050810868204418,0.9174015121095557,0.9812458321773082,,33.45016207328816
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,4.133491938114166,0.0,0.0,0.0,0.0,,,,,,,,33.45016207328816
jsma,True,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.381383352279663,1.1905188018643384,11.451545445399693,0.35432530880799334,36.129411764705885,0.0009514784392238482,0.995736988018266,,0.0393777543543206,0.939715109985506,0.994223743510082,,36.73360556605649
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.381383352279663,0.0,0.0,0.0,0.0,,,,,,,,36.73360556605649
jsma,True,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,0.8557704901695251,1.0594061914110415,7.974567128502054,0.3512572638675005,36.129411764705885,0.00042421225216631423,0.9976493612842339,,0.035578984800401926,0.9428704918361204,0.9966338471761683,,33.944546678249885
jsma,False,,,500,,,,,0.1,1.0,,,,,,jsma0.11.0_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,0.8557704901695251,0.0,0.0,0.0,0.0,,,,,,,,33.944546678249885
jsma,True,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_succ,gen_list_jsma,cifar,conv12,100,85,83,0.9764705882352941,3.5306526112556456,1.2502674867899803,12.971071298724034,0.3563430742341071,37.0,0.0011516512898658425,0.9950938127562906,,0.04194512081495334,0.9313848749097667,0.9857691632308634,,33.44606143106195
jsma,False,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_miss,gen_list_jsma,cifar,conv12,100,85,2,0.9764705882352941,3.5306526112556456,21.343833683800447,955.6529920863188,0.8666666666666667,1536.0,0.14872821833176483,0.715472470595929,38602.459146551075,0.31308033840100025,0.11010887438023367,0.2109437527575157,5587.623840924158,33.44606143106195
jsma,True,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,1.0661598205566407,1.1627778243634175,9.661856725530374,0.3719262317898915,36.129411764705885,0.0005345066886500967,0.9969568244796788,2282.3947452713737,0.039534294473313074,0.9323017836413922,0.9949926450933911,327.60788210528665,33.85430752268263
jsma,False,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,1.0661598205566407,0.0,0.0,0.0,0.0,,,,,,,,33.85430752268263
jsma,True,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,0.9172028851509094,0.9990557760439419,7.465870358874915,0.34823534801344563,36.129411764705885,0.0003981117884386189,0.9974074599739977,,0.03431060690393742,0.9486327448182101,0.994713220950744,,35.92465392184101
jsma,False,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,0.9172028851509094,0.0,0.0,0.0,0.0,,,,,,,,35.92465392184101
jsma,True,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,2.450298113822937,1.3462322864655116,19.909792267874106,0.35471746502038093,36.129411764705885,0.0022462031467259938,0.9939860960851119,,0.04032675905233353,0.9276971645206208,0.9882449455778735,,33.69870346651317
jsma,False,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_miss,gen_list_jsma,cifar,conv12,100,85,0,1.0,2.450298113822937,0.0,0.0,0.0,0.0,,,,,,,,33.69870346651317
jsma,True,,,500,,,,,0.1,0.8,,,,,,jsma0.10.8_succ,gen_list_jsma,cifar,conv12,100,85,85,1.0,5.233105812072754,2.014068099302486,39.42744033191243,0.4065052415342893,36.129411764705885,0.005056139536066327,0.985256489869663,,0.0596387176523688,0.901888592316219,0.9747462386150866,,34.71968027323923
