attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
uni,True,,100,500,1.0,,0.9,2.0,,,,,,,,uni1.01000.92.0_succ,gen_list_uni_2,cifar,conv12,100,85,19,0.2235294117647059,1.500928795337677,0.8798219679401097,32.115884357532416,0.13096847831895356,161.68421052631578,0.00025208546150551,0.99859991069664,2106.7293096737767,0.0317986036192441,0.8841202538964038,1.0028686609381605,303.5140379057173,34.60989558433432
uni,False,,100.0,500,1.0,,0.9,2.0,,,,,,,,uni1.01000.92.0_miss,gen_list_uni_2,cifar,conv12,100,85,66,0.2235294117647059,1.500928795337677,0.882253991585197,32.2885731792333,0.13122319512897065,40.92424242424242,0.0002534123018738444,0.9984869545894177,2039.4478494627149,0.03263032632455268,0.9065529229490875,0.9978243038844572,293.39321063743967,34.60989558433432
uni,True,,100.0,500,1.0,,0.7,2.0,,,,,,,,uni1.01000.72.0_succ,gen_list_uni_2,cifar,conv12,100,85,22,0.25882352941176473,2.2447765851020813,0.9938769697696855,41.17331869667944,0.10316441963254495,139.63636363636363,0.00032162663946453155,0.9979750593140032,2431.473504602985,0.03647175785710896,0.8472129589991471,0.9995633603436996,349.6243756481625,33.5700197707913
uni,False,,100.0,500,1.0,,0.7,2.0,,,,,,,,uni1.01000.72.0_miss,gen_list_uni_2,cifar,conv12,100,85,63,0.25882352941176473,2.2447765851020813,0.9934153990608319,41.11850143852415,0.10279719694657664,48.74603174603175,0.0003213844264843433,0.998199344672337,2281.604466162329,0.03714359592661801,0.8724534937577484,0.9989067108652313,327.6958569900106,33.5700197707913
uni,True,,100.0,500,1.0,,0.5,2.0,,,,,,,,uni1.01000.52.0_succ,gen_list_uni_2,cifar,conv12,100,85,29,0.3411764705882353,168.93656175374986,0.9964648390267014,39.13269182165492,0.11380822049488142,105.86206896551724,0.0003232544356739028,0.9979045108172846,2509.396106350645,0.03932135060590323,0.8659244507566636,0.9969395077556856,361.08196769463825,34.35025066824113
uni,False,,100.0,500,1.0,,0.5,2.0,,,,,,,,uni1.01000.52.0_miss,gen_list_uni_2,cifar,conv12,100,85,56,0.3411764705882353,168.93656175374986,0.9962401244559432,39.03293367251005,0.11486339171952276,54.80357142857143,0.0003231429137394043,0.9981746696734612,2271.117185905002,0.03590899980808548,0.8820647281064158,0.9975420574668455,326.66158547705226,34.35025066824113
uni,True,,100.0,500,1.0,,0.2,2.0,,,,,,,,uni1.01000.22.0_succ,gen_list_uni_2,cifar,conv12,100,85,23,0.27058823529411763,198.42259806632995,0.994349852481967,37.524656143359216,0.10808399204224099,133.56521739130434,0.00032192994560603953,0.9978183993073259,2508.683475677124,0.03785741412297749,0.8507937254209326,0.9983618732629869,360.5817057233079,33.093061589156086
uni,False,,100.0,500,1.0,,0.2,2.0,,,,,,,,uni1.01000.22.0_miss,gen_list_uni_2,cifar,conv12,100,85,62,0.27058823529411763,198.42259806632995,0.9969507327903,37.62687079775494,0.10808399204224096,49.54838709677419,0.0003235644179265907,0.9980885318838888,2346.5387997636985,0.03684726818284371,0.8887260002955937,1.000345853490693,337.3770905291568,33.093061589156086
uni,True,,100.0,500,5.0,,0.9,2.0,,,,,,,,uni5.01000.92.0_succ,gen_list_uni_2,cifar,conv12,100,85,35,0.4117647058823529,1.5630937886238099,1.1857341974754128,46.24242846091964,0.16774719434625968,87.65714285714286,0.00045777613662673555,0.9975964926831994,2719.061451632382,0.04281548259007489,0.849845566195394,1.0008308042666947,391.6933357585746,32.78735856635493
uni,False,,100.0,500,5.0,,0.9,2.0,,,,,,,,uni5.01000.92.0_miss,gen_list_uni_2,cifar,conv12,100,85,50,0.4117647058823529,1.5630937886238099,1.1833480577583517,46.09303973901053,0.16860727651913976,61.34,0.0004559714624549409,0.9970893831467552,2787.28230799417,0.045220141597660864,0.8570440291592537,0.9966772864073087,400.97503228027307,32.78735856635493
