attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,csv_name,file_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
bim,True,,,500,0.1,0.1,,,,,,,,,,gen_list_1,bim0.10.1_succ,cifar,conv12,100,85,85,1.0,0.2641662240028381,4.466675494698917,202.64519007065718,0.10000002384185791,0.0064982580688647835,0.974803607825909,9405.055331362684,0.16606793455041474,0.4904834576109889,0.9699601277317272,1354.1234453405348,21.74758635048311,,
bim,False,,,500,0.1,0.1,,,,,,,,,,gen_list_1,bim0.10.1_miss,cifar,conv12,100,85,0,1.0,0.2641662240028381,0.0,0.0,0.0,,,,,,,,21.74758635048311,,
bim,True,,,500,0.1,0.3,,,,,,,,,,gen_list_1,bim0.10.3_succ,cifar,conv12,100,85,77,0.9058823529411765,0.04219777345657349,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,,
bim,False,,,500,0.1,0.3,,,,,,,,,,gen_list_1,bim0.10.3_miss,cifar,conv12,100,85,8,0.9058823529411765,0.04219777345657349,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545,,
bim,True,,,500,0.1,0.5,,,,,,,,,,gen_list_1,bim0.10.5_succ,cifar,conv12,100,85,77,0.9058823529411765,0.04187350034713745,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,,
bim,False,,,500,0.1,0.5,,,,,,,,,,gen_list_1,bim0.10.5_miss,cifar,conv12,100,85,8,0.9058823529411765,0.04187350034713745,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545,,
bim,True,,,500,0.1,0.7,,,,,,,,,,gen_list_1,bim0.10.7_succ,cifar,conv12,100,85,77,0.9058823529411765,0.041852338314056395,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,,
bim,False,,,500,0.1,0.7,,,,,,,,,,gen_list_1,bim0.10.7_miss,cifar,conv12,100,85,8,0.9058823529411765,0.041852338314056395,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545,,
bim,True,,,500,0.1,0.9,,,,,,,,,,gen_list_1,bim0.10.9_succ,cifar,conv12,100,85,77,0.9058823529411765,0.041710755825042724,5.4088905693648694,296.00925752714085,0.10000002384185791,0.009538028862213256,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,,
bim,False,,,500,0.1,0.9,,,,,,,,,,gen_list_1,bim0.10.9_miss,cifar,conv12,100,85,8,0.9058823529411765,0.041710755825042724,5.428807616233826,298.05615997314453,0.10000002384185791,0.009601640546866479,0.9312723601082736,16485.798225351464,0.2790930337059355,0.38668388102121115,0.9735827962402194,2362.4973120939476,20.12091521866545,,
bim,True,,,500,0.1,0.01,,,,,,,,,,gen_list_1,bim0.10.01_succ,cifar,conv12,100,85,85,1.0,0.04173857927322388,4.06803362790276,200.35981247845817,0.10000002384185791,0.005396728388612455,0.9789792357042412,8454.979063673285,0.15145810118963504,0.5348896337015523,0.9844267990791573,1217.0191555443084,22.46556763228622,,
bim,False,,,500,0.1,0.01,,,,,,,,,,gen_list_1,bim0.10.01_miss,cifar,conv12,100,85,0,1.0,0.04173857927322388,0.0,0.0,0.0,,,,,,,,22.46556763228622,,
bim,True,,,500,0.1,0.03,,,,,,,,,,gen_list_1,bim0.10.03_succ,cifar,conv12,100,85,85,1.0,0.041681218147277835,4.181634305505192,209.71769283519072,0.10000002384185791,0.005697989028548102,0.97767214639624,8753.793902787977,0.15573942021067963,0.5098790488060638,0.9617998925974537,1260.0631090824618,22.215652995255216,,
bim,False,,,500,0.1,0.03,,,,,,,,,,gen_list_1,bim0.10.03_miss,cifar,conv12,100,85,0,1.0,0.041681218147277835,0.0,0.0,0.0,,,,,,,,22.215652995255216,,
