attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
uni,True,,1e+02,500,0.1,,0.9,inf,,,,,,,,uni0.11000.9inf_succ,gen_list_uni_inf,cifar,conv12,100,85,37,0.43529411764705883,1.5406839847564697,1.2802619409747602,51.40107000215865,0.09802756216011795,82.91891891891892,0.0005336187749442623,0.9972903865701663,2954.132001515338,0.04579151330183145,0.835035308602514,0.9963024106270192,424.84748141345176,31.819149321546657
uni,False,,100.0,500,0.1,,0.9,inf,,,,,,,,uni0.11000.9inf_miss,gen_list_uni_inf,cifar,conv12,100,85,48,0.43529411764705883,1.5406839847564697,1.272744868235238,50.9881004311217,0.0979708173123547,49.875,0.0005276012066719286,0.9968504343651355,3003.9587501622323,0.04867824514394208,0.8361205453490602,0.9948644969948738,431.5825804280723,31.819149321546657
uni,True,,100.0,500,0.1,,0.7,inf,,,,,,,,uni0.11000.7inf_succ,gen_list_uni_inf,cifar,conv12,100,85,37,0.43529411764705883,1.1973281621932983,1.2374971026143835,47.92011497244359,0.10000000000000005,83.02702702702703,0.000498559522191209,0.9960749444904545,3295.467555693334,0.04802285443764656,0.8360905340312498,0.9966968236851572,473.9913485912239,32.44628959985666
uni,False,,100.0,500,0.1,,0.7,inf,,,,,,,,uni0.11000.7inf_miss,gen_list_uni_inf,cifar,conv12,100,85,48,0.43529411764705883,1.1973281621932983,1.234032877836231,47.70864691550636,0.09999999999999999,64.0,0.000495898599343595,0.9975790011785333,2758.228808802641,0.04448713499844439,0.8558722960466753,0.9931313507013062,397.0336081082457,32.44628959985666
uni,True,,100.0,500,0.1,,0.5,inf,,,,,,,,uni0.11000.5inf_succ,gen_list_uni_inf,cifar,conv12,100,85,40,0.47058823529411764,1.146976387500763,1.2974694856033988,53.685954868046906,0.09944618121154754,76.775,0.0005480434033923525,0.9964250164451997,3183.7171593741064,0.04852305704047043,0.8358829813638617,0.9985673208202336,458.25877841071923,32.29888451286018
uni,False,,100.0,500,0.1,,0.5,inf,,,,,,,,uni0.11000.5inf_miss,gen_list_uni_inf,cifar,conv12,100,85,45,0.47058823529411764,1.146976387500763,1.2896402312186452,53.1910022297405,0.09945698412610038,52.0,0.000541791573152686,0.9970696169113459,2999.6346064747363,0.04787550902272161,0.8295727031771544,0.9974923141899835,431.7553591464356,32.29888451286018
uni,True,,100.0,500,0.1,,0.2,inf,,,,,,,,uni0.11000.2inf_succ,gen_list_uni_inf,cifar,conv12,100,85,33,0.38823529411764707,100.26195344209671,1.60255990484552,56.16461502750931,0.10000000000000006,93.0909090909091,0.0008363690442635646,0.9952367685015191,3599.9478375937797,0.05849544135360287,0.807142697792781,0.9942776769597651,518.1128482264326,29.96706282173386
uni,False,,100.0,500,0.1,,0.2,inf,,,,,,,,uni0.11000.2inf_miss,gen_list_uni_inf,cifar,conv12,100,85,52,0.38823529411764707,100.26195344209671,1.6141694320353612,56.663174132097986,0.09999999999999996,59.07692307692308,0.0008481658496534536,0.9946373089840578,3716.9694197608833,0.05917760098506109,0.8285897698380705,0.997552392115453,534.1118190784902,29.96706282173386
uni,True,,100.0,500,0.4,,0.9,inf,,,,,,,,uni0.41000.9inf_succ,gen_list_uni_inf,cifar,conv12,100,85,39,0.4588235294117647,1.2667971897125243,1.4064734541256718,54.053271516171804,0.14415227922738785,78.76923076923077,0.000643953138094881,0.9960270405146283,3390.608028775613,0.05085432382880567,0.8156635171877954,0.9925359056823063,487.47516906109433,30.928124548415443
uni,False,,100.0,500,0.4,,0.9,inf,,,,,,,,uni0.41000.9inf_miss,gen_list_uni_inf,cifar,conv12,100,85,46,0.4588235294117647,1.2667971897125243,1.3948417489964284,53.45969917065042,0.1439532547503178,49.02173913043478,0.0006339594586843851,0.9962793554789956,3355.815408699794,0.052657032459421375,0.8362433601638624,0.9934141856749676,482.1350554719301,30.928124548415443
uni,True,,100.0,500,0.4,,0.7,inf,,,,,,,,uni0.41000.7inf_succ,gen_list_uni_inf,cifar,conv12,100,85,37,0.43529411764705883,0.8949511861801147,1.3782298359817062,55.66863589779693,0.13010559409272437,83.02702702702703,0.0006184207808904469,0.9965890294467272,3302.5664399201123,0.05224965579759934,0.8203116633326343,0.9970668871086137,475.00337946759515,31.048640652047037
uni,False,,100.0,500,0.4,,0.7,inf,,,,,,,,uni0.41000.7inf_miss,gen_list_uni_inf,cifar,conv12,100,85,48,0.43529411764705883,0.8949511861801147,1.3722304266240892,55.29040594930988,0.12946715578923826,63.979166666666664,0.0006132397177508246,0.9963155303450586,3217.5853311938504,0.05079962082945901,0.829762484972333,0.9933071982312226,462.53106833309477,31.048640652047037
uni,True,,100.0,500,0.4,,0.5,inf,,,,,,,,uni0.41000.5inf_succ,gen_list_uni_inf,cifar,conv12,100,85,44,0.5176470588235295,1.3632737040519713,1.3827327424174507,54.878069952379136,0.14944848055933047,69.79545454545455,0.0006224238079231489,0.9967841835817456,3270.7145842990644,0.05102314915768203,0.8093850137065256,0.9942451567370741,470.8682195816806,31.202475340286355
uni,False,,100.0,500,0.4,,0.5,inf,,,,,,,,uni0.41000.5inf_miss,gen_list_uni_inf,cifar,conv12,100,85,41,0.5176470588235295,1.3632737040519713,1.3699740335904877,54.16597034272508,0.14763297636163464,74.90243902439025,0.0006114567011190161,0.9961192498863483,3269.9402298839227,0.05179254870252724,0.838487348306995,0.9923315137020746,469.80196840975975,31.202475340286355
uni,True,,100.0,500,0.4,,0.2,inf,,,,,,,,uni0.41000.2inf_succ,gen_list_uni_inf,cifar,conv12,100,85,26,0.3058823529411765,103.13602333307266,1.5168455678104302,50.25775879062965,0.16004061582828355,118.07692307692308,0.000749333787781053,0.9944859338581339,3787.041054131041,0.05664267017138142,0.8368512782500394,0.9933638073039698,543.2572622252678,30.31888267029543
