L0,L1,L2,Linf,adv_size,attack,cifar_idx,csv_name,dataset_name,ergas,file_name,is_succ,magnet_det,model_name,mse,psnrb,rase,sam,scc,squeezer_det,success_rate,uqi,vifp
3071.0,207.12158916867247,4.547098298204658,0.10000005352730845,85.0,bim,0.0,gen_list_1,cifar,8529.750670474796,bim0.10.1_succ,1.0,0.0,conv12,0.0067305022570103195,21.7821917351438,1228.8270714486125,0.17592481248638225,0.5317526363793449,0.0,1.0,0.980429054598179,1.0072824011551473
3072.0,200.5666975594619,4.44652877757356,0.10000005352730845,85.0,bim,2.0,gen_list_1,cifar,7120.325598943615,bim0.10.1_succ,1.0,0.0,conv12,0.0064360736229784575,22.077147419890277,1026.7606898444765,0.13846124272459823,0.44270814893891225,0.0,1.0,0.9856343472791425,0.9903009353924107
3072.0,205.60004435938362,4.533742761156537,0.10000005352730845,85.0,bim,3.0,gen_list_1,cifar,5984.121015310058,bim0.10.1_succ,1.0,0.0,conv12,0.0066910232501104505,21.123828176956874,863.7461950028102,0.12602640857231234,0.5619030445326523,0.0,1.0,0.9910693316883687,1.0446825544568379
3072.0,200.53335197345885,4.471696721859945,0.10000005352730845,85.0,bim,4.0,gen_list_1,cifar,8518.229022848107,bim0.10.1_succ,1.0,0.0,conv12,0.006509137881605786,21.95136491060344,1228.9860922706841,0.18024064461965872,0.5910845539668786,0.0,1.0,0.9810936550342587,0.9913792861799173
3072.0,206.90394003885046,4.537138512784398,0.10000005352730845,85.0,bim,5.0,gen_list_1,cifar,10378.141318065762,bim0.10.1_succ,1.0,0.0,conv12,0.006701050092510226,21.831975436715414,1494.4080594260352,0.2102238136670409,0.4487216155796178,0.0,1.0,0.9706216849168872,0.9996724206470825
3068.0,197.6862949249499,4.351467042496213,0.10000005352730845,85.0,bim,6.0,gen_list_1,cifar,11847.012272256985,bim0.10.1_succ,1.0,0.0,conv12,0.006163823379534745,21.806912301662273,1687.4221768364248,0.205395105718182,0.5793761743123558,0.0,1.0,0.9442973792949312,0.9593579298977812
3071.0,202.9137349696428,4.488946617243877,0.10000005352730845,85.0,bim,7.0,gen_list_1,cifar,10964.3194896733,bim0.10.1_succ,1.0,0.0,conv12,0.006559453688953532,21.811003590991834,1572.9796158997276,0.21596962781820653,0.3289605890628197,0.0,1.0,0.9640885308365873,0.9827253062496472
3072.0,206.87651612288226,4.53331660897181,0.10000005352730845,85.0,bim,8.0,gen_list_1,cifar,5664.47450365265,bim0.10.1_succ,1.0,0.0,conv12,0.006689765454811089,21.685317478802972,817.2943727061624,0.12629732175265695,0.4402566764573381,0.0,1.0,0.9918505727968038,0.9813606231884946
3072.0,202.74709136652598,4.461771493545902,0.10000005352730845,85.0,bim,9.0,gen_list_1,cifar,7715.467646638663,bim0.10.1_succ,1.0,0.0,conv12,0.006480275019732689,21.96992386902652,1111.7600824082704,0.1306769604495955,0.5953955322873666,0.0,1.0,0.9841093260993219,0.9604103889799852
3072.0,204.2019987406684,4.518850268810158,0.10000005352730845,85.0,bim,10.0,gen_list_1,cifar,6318.678752818538,bim0.10.1_succ,1.0,0.0,conv12,0.006647137940079962,21.720804845314024,911.6318086331594,0.14559104661666294,0.32328734569241185,0.0,1.0,0.9893093560405698,0.972236528111929
3069.0,206.59807012276906,4.505840520771891,0.10000005352730845,85.0,bim,11.0,gen_list_1,cifar,8566.601527408697,bim0.10.1_succ,1.0,0.0,conv12,0.006608918879762339,21.866446445495455,1236.4966374355797,0.14153654860876538,0.7044311707571417,0.0,1.0,0.9825269451263031,1.0067611199794273
3072.0,203.91374612476895,4.489681642201919,0.10000005352730845,85.0,bim,12.0,gen_list_1,cifar,10261.573229494536,bim0.10.1_succ,1.0,0.0,conv12,0.006561601968855769,21.85012824511761,1476.95266558563,0.19407612308975777,0.46329197329549127,0.0,1.0,0.9716086410776481,0.9616871148738472
3068.0,199.11570305646052,4.329159313439108,0.10000005352730845,85.0,bim,13.0,gen_list_1,cifar,13110.582094129251,bim0.10.1_succ,1.0,0.0,conv12,0.006100787877974145,22.178093991610858,1891.6872116651066,0.19132127253215306,0.6697800551845461,0.0,1.0,0.965277153714879,0.9335614160361764
3069.0,208.1627643881475,4.532803843537559,0.10000005352730845,85.0,bim,14.0,gen_list_1,cifar,8949.729327763302,bim0.10.1_succ,1.0,0.0,conv12,0.006688252175777628,21.66447840760442,1290.3317440232029,0.16918037862496657,0.6565453436643615,0.0,1.0,0.9810868557535755,0.9871112413981779
3070.0,209.84120511999902,4.566007757850769,0.10000005352730845,85.0,bim,15.0,gen_list_1,cifar,6919.5506935223575,bim0.10.1_succ,1.0,0.0,conv12,0.0067865972801931665,21.896641703768502,998.832981958028,0.15252495236503424,0.533143337272903,0.0,1.0,0.988131329372912,0.955383366741894
3044.0,199.97258024762075,4.4175704778358655,0.10000005352730845,85.0,bim,16.0,gen_list_1,cifar,7866.151805901009,bim0.10.1_succ,1.0,0.0,conv12,0.006352515926642902,21.806526167802865,1134.1396287933815,0.1364877111780499,0.587657352019037,0.0,1.0,0.9823572742661136,0.9612278491556735
3072.0,205.25296613781475,4.530095720446815,0.10000005352730845,85.0,bim,17.0,gen_list_1,cifar,8089.985463832139,bim0.10.1_succ,1.0,0.0,conv12,0.00668026277226906,21.72711461695355,1167.1580387313356,0.1461306458031195,0.537469812281293,0.0,1.0,0.9838413520720836,0.996159950850418
