attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
bim,True,,,500,0.1,0.1,,,,,,,,,,,,bim0.10.1_succ,gen_list_1,cifar,resnet50,100,90,90,1.0,0.9406484913825989,4.444168519629128,200.90980832006744,0.10000005351172554,34.13333333333333,0.0064340643739959884,0.9746235706635924,9421.813577486966,0.16481058237659407,0.4727406707287264,0.9749545670318287,1356.7010353679202,21.759470444161142,
bim,False,,,500,0.1,0.1,,,,,,,,,,,,bim0.10.1_miss,gen_list_1,cifar,resnet50,100,90,0,1.0,0.9406484913825989,0.0,0.0,0.0,0.0,,,,,,,,21.759470444161142,
bim,True,,,500,0.1,0.3,,,,,,,,,,,,bim0.10.3_succ,gen_list_1,cifar,resnet50,100,90,82,0.9111111111111111,0.5304084396362305,5.4222874126394425,297.21003948367144,0.10000005352160739,37.46341463414634,0.009578689970894274,0.9642510764256947,11482.765993589412,0.20098405037062375,0.4123718632729281,0.9664976354840367,1653.1161936119036,20.12309879555268,
bim,False,,,500,0.1,0.3,,,,,,,,,,,,bim0.10.3_miss,gen_list_1,cifar,resnet50,100,90,8,0.9111111111111111,0.5304084396362305,5.204664520503815,279.0522285975699,0.10000005314747493,292125,0.008882858814625997,0.9670037608464235,10785.385414253535,0.18282105106020352,0.4053935749277774,0.9557879555487611,1553.1111825297644,20.12309879555268,
bim,True,,,500,0.1,0.5,,,,,,,,,,,,bim0.10.5_succ,gen_list_1,cifar,resnet50,100,90,82,0.9111111111111111,0.5398852491378784,5.4222874126394425,297.21003948367144,0.10000005352160739,37.46341463414634,0.009578689970894274,0.9642510764256947,11482.765993589412,0.20098405037062375,0.4123718632729281,0.9664976354840367,1653.1161936119036,20.12309879555268,
bim,False,,,500,0.1,0.5,,,,,,,,,,,,bim0.10.5_miss,gen_list_1,cifar,resnet50,100,90,8,0.9111111111111111,0.5398852491378784,5.204664520503815,279.0522285975699,0.10000005314747493,292125,0.008882858814625997,0.9670037608464235,10785.385414253535,0.18282105106020352,0.4053935749277774,0.9557879555487611,1553.1111825297644,20.12309879555268,
bim,True,,,500,0.1,0.7,,,,,,,,,,,,bim0.10.7_succ,gen_list_1,cifar,resnet50,100,90,82,0.9111111111111111,0.5359355282783508,5.4222874126394425,297.21003948367144,0.10000005352160739,37.46341463414634,0.009578689970894274,0.9642510764256947,11482.765993589412,0.20098405037062375,0.4123718632729281,0.9664976354840367,1653.1161936119036,20.12309879555268,
bim,False,,,500,0.1,0.7,,,,,,,,,,,,bim0.10.7_miss,gen_list_1,cifar,resnet50,100,90,8,0.9111111111111111,0.5359355282783508,5.204664520503815,279.0522285975699,0.10000005314747493,292125,0.008882858814625997,0.9670037608464235,10785.385414253535,0.18282105106020352,0.4053935749277774,0.9557879555487611,1553.1111825297644,20.12309879555268,
bim,True,,,500,0.1,0.9,,,,,,,,,,,,bim0.10.9_succ,gen_list_1,cifar,resnet50,100,90,82,0.9111111111111111,0.537958734035492,5.4222874126394425,297.21003948367144,0.10000005352160739,37.46341463414634,0.009578689970894274,0.9642510764256947,11482.765993589412,0.20098405037062375,0.4123718632729281,0.9664976354840367,1653.1161936119036,20.12309879555268,
bim,False,,,500,0.1,0.9,,,,,,,,,,,,bim0.10.9_miss,gen_list_1,cifar,resnet50,100,90,8,0.9111111111111111,0.537958734035492,5.204664520503815,279.0522285975699,0.10000005314747493,292125,0.008882858814625997,0.9670037608464235,10785.385414253535,0.18282105106020352,0.4053935749277774,0.9557879555487611,1553.1111825297644,20.12309879555268,
bim,True,,,500,0.1,0.01,,,,,,,,,,,,bim0.10.01_succ,gen_list_1,cifar,resnet50,100,90,90,1.0,0.5451161670684814,3.3287118778308833,156.34327124872482,0.10000005314292994,34.13333333333333,0.0036087593746189366,0.9849501211516404,7005.716503968112,0.12329036678532633,0.5930651580347812,0.9932099960788197,1008.1928401045777,23.855041146926897,
bim,False,,,500,0.1,0.01,,,,,,,,,,,,bim0.10.01_miss,gen_list_1,cifar,resnet50,100,90,0,1.0,0.5451161670684814,0.0,0.0,0.0,0.0,,,,,,,,23.855041146926897,
bim,True,,,500,0.1,0.03,,,,,,,,,,,,bim0.10.03_succ,gen_list_1,cifar,resnet50,100,90,90,1.0,0.5367135787010193,3.6889237228377763,178.67208692694382,0.10000005344160243,34.13333333333333,0.004431572181372409,0.9817439586076961,7801.603743305678,0.13676900569171757,0.5377654430568362,0.9814485267951935,1123.21418751473,23.240436849242624,
bim,False,,,500,0.1,0.03,,,,,,,,,,,,bim0.10.03_miss,gen_list_1,cifar,resnet50,100,90,0,1.0,0.5367135787010193,0.0,0.0,0.0,0.0,,,,,,,,23.240436849242624,
bim,True,,,500,0.1,0.05,,,,,,,,,,,,bim0.10.05_succ,gen_list_1,cifar,resnet50,100,90,90,1.0,0.5412603044509887,3.896335967177223,183.46959818516342,0.10000005345199105,34.13333333333333,0.00494390382810422,0.9799884691881561,8241.372161558334,0.1444405917853786,0.5142798660302628,0.974542097159843,1186.6441958910193,22.871449889843593,
bim,False,,,500,0.1,0.05,,,,,,,,,,,,bim0.10.05_miss,gen_list_1,cifar,resnet50,100,90,0,1.0,0.5412603044509887,0.0,0.0,0.0,0.0,,,,,,,,22.871449889843593,
