attack,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot
cw2,50,100.0,10,,,,,,,,,,,,,
cw2,40,100.0,10,,,,,,,,,,,,,
cw2,30,100.0,10,,,,,,,,,,,,,
cw2,20,100.0,10,,,,,,,,,,,,,
cw2,15,100.0,10,,,,,,,,,,,,,
cw2,10,100.0,10,,,,,,,,,,,,,
cw2,5,100.0,10,,,,,,,,,,,,,
cw2,1,100.0,10,,,,,,,,,,,,,
cw2,10,10,10,,,,,,,,,,,,,
cw2,10,30,10,,,,,,,,,,,,,
cw2,10,50,10,,,,,,,,,,,,,
cw2,10,60,10,,,,,,,,,,,,,
cw2,10,80,10,,,,,,,,,,,,,
cw2,10,200,10,,,,,,,,,,,,,
cw2,10,500,10,,,,,,,,,,,,,
cw2,10,800,10,,,,,,,,,,,,,
cw2,10,1000,10,,,,,,,,,,,,,
