attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,max_trasl,max_rot,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_l0,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
jsma,True,,,500,,,,,6e-01,1.0,,,,,,,,jsma0.61.0_succ,gen_list_jsma_remain,cifar,resnet50,100,90,88,0.9777777777777777,85.35615497589112,18.327346506021907,752.5682016320633,0.8686720223164386,34.89772727272727,0.15074029188906152,0.7413927028767611,,0.311872316386443,0.28856718237602674,0.6387896214731331,,18.98617817747416
jsma,False,,,500,,,,,0.6,1.0,,,,,,,,jsma0.61.0_miss,gen_list_jsma_remain,cifar,resnet50,100,90,2,0.9777777777777777,85.35615497589112,18.51716890766742,513.8588235294117,1.0,814.0,0.11212548959534796,0.8071873653394404,31975.278434764048,0.3338152244580951,0.0,0.028618090134790886,4617.5288199092365,18.98617817747416
jsma,True,,,500,,,,,0.6,0.8,,,,,,,,jsma0.60.8_succ,gen_list_jsma_remain,cifar,resnet50,100,90,90,1.0,35.285930066108705,12.119667532473548,384.75993937484566,0.8164706021508354,34.12222222222222,0.06929095230283824,0.8419093525571698,,0.25903618792307076,0.4465731771123754,0.7953806686903369,,29.87846527657156
jsma,False,,,500,,,,,0.6,0.8,,,,,,,,jsma0.60.8_miss,gen_list_jsma_remain,cifar,resnet50,100,90,0,1.0,35.285930066108705,0.0,0.0,0.0,0.0,,,,,,,,29.87846527657156
jsma,True,,,500,,,,,0.6,0.6,,,,,,,,jsma0.60.6_succ,gen_list_jsma_remain,cifar,resnet50,100,90,80,0.8888888888888888,63.40475072145462,16.969966888237455,633.2886503959229,0.8575490283060303,38.3875,0.12189078244644444,0.7435827416592489,,0.3242467625422759,0.3376820996061657,0.6419078416188878,,21.833589008181423
jsma,False,,,500,,,,,0.6,0.6,,,,,,,,jsma0.60.6_miss,gen_list_jsma_remain,cifar,resnet50,100,90,10,0.8888888888888888,63.40475072145462,21.61571888289415,816.8819768293304,0.9662745098039217,162.8,0.1631713480877002,0.6748452514339306,54927.867575746066,0.39585416511587795,0.14765545512072828,0.43893970792615955,7965.722368582661,21.833589008181423
jsma,True,,,500,,,,,0.6,0.4,,,,,,,,jsma0.60.4_succ,gen_list_jsma_remain,cifar,resnet50,100,90,82,0.9111111111111111,37.95452699422836,12.874296732253253,363.55426016833485,0.8556193315486821,37.451219512195124,0.06404514682154475,0.8274719118001466,,0.29666012748432213,0.37830415360051467,0.8839245030464951,,19.801528074691394
jsma,False,,,500,,,,,0.6,0.4,,,,,,,,jsma0.60.4_miss,gen_list_jsma_remain,cifar,resnet50,100,90,8,0.9111111111111111,37.95452699422836,17.070478882042067,547.8578673848707,0.9441176470588236,384.0,0.10328166815541515,0.7488771683922422,,0.3619163217987884,0.2603397287841885,0.7681082131015436,,19.801528074691394
jsma,True,,,500,,,,,0.6,0.4,,,,,,,,jsma0.60.4_succ,gen_list_jsma_remain,cifar,resnet50,100,90,87,0.9666666666666667,34.623650891780855,12.70750383483451,364.7630215064565,0.8472842121328449,35.298850574712645,0.06633292903000224,0.8195274361924155,,0.2917088209235017,0.40628272737000215,0.873929907651706,,24.271956480560267
jsma,False,,,500,,,,,0.6,0.4,,,,,,,,jsma0.60.4_miss,gen_list_jsma_remain,cifar,resnet50,100,90,3,0.9666666666666667,34.623650891780855,16.718808574519517,507.6248543638737,0.9281045751633986,542.3333333333334,0.09137630735170525,0.7866145396811994,33471.40789434831,0.335123461607715,0.25991907259657276,0.7221235196846433,4834.457927754768,24.271956480560267
jsma,True,,,500,,,,,0.6,0.2,,,,,,,,jsma0.60.2_succ,gen_list_jsma_remain,cifar,resnet50,100,90,81,0.9,15.054886927604676,7.461926563584946,147.6301461190448,0.7426773418528316,37.91358024691358,0.025557587674450537,0.9124568266224226,,0.20029927599013025,0.5952880885732,0.9709251866096106,,34.73479294759942
jsma,False,,,500,,,,,0.6,0.2,,,,,,,,jsma0.60.2_miss,gen_list_jsma_remain,cifar,resnet50,100,90,9,0.9,15.054886927604676,10.764929050655411,237.76429677316167,0.8810457590618426,180.66666666666666,0.04097922423963679,0.8728588222998368,26384.34124806607,0.27433988407155563,0.3800023506307476,0.8955787963514439,3809.7622110231855,34.73479294759942
jsma,True,,,500,,,,,0.8,1.0,,,,,,,,jsma0.81.0_succ,gen_list_jsma_remain,cifar,resnet50,100,90,80,0.8888888888888888,91.76174466133118,23.41994483558257,1084.9245210568026,0.9188725499224425,38.3875,0.23079962378595206,0.6644278148329367,,0.3574111240103113,0.20523758899670033,0.5064736058445147,,15.445679171600407
jsma,False,,,500,,,,,0.8,1.0,,,,,,,,jsma0.81.0_miss,gen_list_jsma_remain,cifar,resnet50,100,90,10,0.8888888888888888,91.76174466133118,27.437262267700675,1310.797254901961,0.9533333333333334,162.8,0.25699118678312827,0.6553647027063831,50937.65764913043,0.3570853046573808,0.0,0.21612461899340074,7382.732248067038,15.445679171600407
jsma,True,,,500,,,,,0.8,0.8,,,,,,,,jsma0.80.8_succ,gen_list_jsma_remain,cifar,resnet50,100,90,81,0.9,93.23261082172394,21.162292966705504,842.6093097034936,0.9243766646586039,37.91358024691358,0.16767356402662964,0.6846258676459762,,0.3772392139858996,0.17494141583888667,0.5615117212039247,,14.501508920702674
jsma,False,,,500,,,,,0.8,0.8,,,,,,,,jsma0.80.8_miss,gen_list_jsma_remain,cifar,resnet50,100,90,9,0.9,93.23261082172394,26.502195039514618,1156.2893297143619,0.9699346405228759,180.88888888888889,0.2452081221729843,0.6179482616840735,64605.67190993877,0.4141603371165667,0.060697401968660164,0.23221922784765178,9369.124089364812,14.501508920702674
jsma,True,,,500,,,,,0.8,0.6,,,,,,,,jsma0.80.6_succ,gen_list_jsma_remain,cifar,resnet50,100,90,82,0.9111111111111111,54.19655123949051,15.61977760308694,517.0342143955279,0.8835963671912076,37.451219512195124,0.09717855215182082,0.7813453636398173,,0.3196531312959571,0.31510954765776633,0.7449136472182458,,22.33949213058307
